Year,Author,Novel
1986 ,Barry N. Malzberg,The Remaking of Sigmund Freud
1986 ,Bruce Sterling,Schismatrix
1987 ,Orson Scott Card*,Speaker for the Dead
1987 ,William Gibson,Count Zero
1987 ,Gene Wolfe,Free Live Free
1987 ,Margaret Atwood,The Handmaid's Tale
1987 ,Leigh Kennedy,The Journal of Nicholas the American
1987 ,James K. Morrow,This Is the Way the World Ends
1988 ,Pat Murphy*,The Falling Woman
1988 ,Greg Bear,The Forge of God
1988 ,Gene Wolfe,Soldier of the Mist
1988 ,David Brin,The Uplift War
1988 ,Avram Davidson,Vergil in Averno
1988 ,George Alec Effinger,When Gravity Fails
1989 ,Lois McMaster Bujold*,Falling Free
1989 ,Lewis Shiner,Deserted Cities of the Heart
1989 ,George Turner,Drowning Towers
1989 ,Gregory Benford,Great Sky River
1989 ,William Gibson,Mona Lisa Overdrive
1989 ,Orson Scott Card,Red Prophet
1989 ,Gene Wolfe,The Urth of the New Sun
1990 ,Elizabeth Ann Scarborough*,The Healer's War
1990 ,Poul Anderson,The Boat of a Million Years
1990 ,Orson Scott Card,Prentice Alvin
1990 ,John Kessel,Good News From Outer Space
1990 ,Mike Resnick,Ivory: A Legend of Past and Future
1990 ,Jane Yolen,"Sister Light, Sister Dark"
1991 ,Ursula K. Le Guin*,Tehanu: The Last Book of Earthsea
1991 ,Valerie Martin,Mary Reilly
1991 ,James K. Morrow,Only Begotten Daughter
1991 ,Dan Simmons,The Fall of Hyperion
1991 ,John E. Stith,Redshift Rendezvous
1991 ,Jane Yolen,White Jenna
1992 ,Michael Swanwick*,Stations of the Tide
1992 ,John Barnes,Orbital Resonance
1992 ,Lois McMaster Bujold,Barrayar
1992 ,Emma Bull,Bone Dance
1992 ,Pat Cadigan,Synners
1992 ,Bruce Sterling ,The Difference Engine 
1992 ,William Gibson ,
1993 ,Connie Willis*,Doomsday Book
1993 ,John Barnes,A Million Open Doors
1993 ,Karen Joy Fowler,Sarah Canary
1993 ,Maureen F. McHugh,China Mountain Zhang
1993 ,Vernor Vinge,A Fire Upon the Deep
1993 ,Jane Yolen,Briar Rose
1994 ,Kim Stanley Robinson*,Red Mars
1994 ,Kevin J. Anderson ,Assemblers of Infinity 
1994 ,Doug Beason ,
1994 ,Algis Budrys,Hard Landing
1994 ,Nancy Kress,Beggars in Spain
1994 ,Gene Wolfe,Nightside the Long Sun
1995 ,Greg Bear*,Moving Mars
1995 ,Octavia E. Butler,Parable of the Sower
1995 ,Jonathan Lethem,"Gun, with Occasional Music"
1995 ,James K. Morrow,Towing Jehovah
1995 ,Rachel Pollack,Temporary Agency
1995 ,Kim Stanley Robinson,Green Mars
1995 ,Roger Zelazny,A Night in the Lonesome October
1996 ,Robert J. Sawyer*,The Terminal Experiment
1996 ,John Barnes,Mother of Storms
1996 ,Nancy Kress,Beggars and Choosers
1996 ,Paul Park,Celestis
1996 ,Walter Jon Williams,Metropolitan
1996 ,Gene Wolfe,Calde of the Long Sun
1997 ,Nicola Griffith*,Slow River
1997 ,Nina Kiriki Hoffman,The Silent Strength of Stones
1997 ,Patricia A. McKillip,Winter Rose
1997 ,Tim Powers,Expiration Date
1997 ,Robert J. Sawyer,Starplex
1997 ,Neal Stephenson,The Diamond Age
1998 ,Vonda N. McIntyre*,The Moon and the Sun
1998 ,Lois McMaster Bujold,Memory
1998 ,Kate Elliott,King's Dragon
1998 ,George R. R. Martin,A Game of Thrones
1998 ,Jack McDevitt,Ancient Shores
1998 ,Walter Jon Williams,City on Fire
1998 ,Connie Willis,Bellwether
1999 ,Joe Haldeman*,Forever Peace
1999 ,Catherine Asaro,The Last Hawk
1999 ,Jack McDevitt,Moonfall
1999 ,Harry Turtledove,How Few Remain
1999 ,Martha Wells,The Death of the Necromancer
1999 ,Connie Willis,To Say Nothing of the Dog
2000 ,Octavia E. Butler*,Parable of the Talents
2000 ,Ken MacLeod,The Cassini Division
2000 ,George R. R. Martin,A Clash of Kings
2000 ,Maureen F. McHugh,Mission Child
2000 ,Sean Stewart,Mockingbird
2000 ,Vernor Vinge,A Deepness in the Sky
2001 ,Greg Bear*,Darwin's Radio
2001 ,Lois McMaster Bujold,A Civil Campaign
2001 ,Kathleen Ann Goonan,Crescent City Rhapsody
2001 ,Nalo Hopkinson,Midnight Robber
2001 ,Jack McDevitt,Infinity Beach
2001 ,Charles de Lint,Forests of the Heart
2002 ,Catherine Asaro*,The Quantum Rose
2002 ,Jeffrey Carver,Eternity's End
2002 ,Geoffrey A. Landis,Mars Crossing
2002 ,George R. R. Martin,A Storm of Swords
2002 ,Wil McCarthy,The Collapsium
2002 ,Patricia A. McKillip,The Tower at Stony Wood
2002 ,Tim Powers,Declare
2002 ,Connie Willis,Passage
2003 ,Neil Gaiman*,American Gods
2003 ,Kelley Eskridge,Solitaire
2003 ,Ursula K. Le Guin,The Other Wind
2003 ,Robert A. Metzger,Picoverse
2003 ,China Miéville,Perdido Street Station
2003 ,Michael Swanwick,Bones of the Earth
2004 ,Elizabeth Moon*,The Speed of Dark
2004 ,Lois McMaster Bujold,Diplomatic Immunity
2004 ,Carol Emshwiller,The Mount
2004 ,Kathleen Ann Goonan,Light Music
2004 ,Nalo Hopkinson,The Salt Roads
2004 ,Jack McDevitt,Chindi
2005 ,Lois McMaster Bujold*,Paladin of Souls
2005 ,Cory Doctorow,Down and Out in the Magic Kingdom
2005 ,Jack McDevitt,Omega
2005 ,David Mitchell,Cloud Atlas
2005 ,Sean Stewart,Perfect Circle
2005 ,Gene Wolfe,The Knight
