Year,Author,Novel
1985,Vernor Vinge,The Peace War
1985,Robert A. Heinlein,Job: A Comedy of Justice
1985,Larry Niven,The Integral Trees
1986,Orson Scott Card*,Ender's Game
1986,C. J. Cherryh,Cuckoo's Egg
1986,David Brin,The Postman
1986,Larry Niven ,Footfall 
1986,Jerry Pournelle ,
1986,Greg Bear,Blood Music
1987,Orson Scott Card*,Speaker for the Dead
1987,Bob Shaw,The Ragged Astronauts
1987,William Gibson,Count Zero
1987,Vernor Vinge,Marooned in Realtime
1987,L. Ron Hubbard,Black Genesis
1988,David Brin*,The Uplift War
1988,George Alec Effinger,When Gravity Fails
1988,Orson Scott Card,Seventh Son
1988,Greg Bear,The Forge of God
1988,Gene Wolfe,The Urth of the New Sun
1989,C. J. Cherryh*,Cyteen
1989,Orson Scott Card,Red Prophet
1989,Lois McMaster Bujold,Falling Free
1989,Bruce Sterling,Islands in the Net
1989,William Gibson,Mona Lisa Overdrive
1990,Dan Simmons*,Hyperion
1990,George Alec Effinger,A Fire in the Sun
1990,Orson Scott Card,Prentice Alvin
1990,Poul Anderson,The Boat of a Million Years
1990,Sheri S. Tepper,Grass
1991,Lois McMaster Bujold*,The Vor Game
1991,David Brin,Earth
1991,Dan Simmons,The Fall of Hyperion
1991,Michael P. Kube-McDowell,The Quiet Pools
1991,Greg Bear,Queen of Angels
1992,Lois McMaster Bujold*,Barrayar
1992,Emma Bull,Bone Dance
1992,Anne McCaffrey,All the Weyrs of Pern
1992,Joan D. Vinge,The Summer Queen
1992,Orson Scott Card,Xenocide
1992,Michael Swanwick,Stations of the Tide
1993,Vernor Vinge*,A Fire Upon the Deep
1993,Connie Willis*,Doomsday Book
1993,Kim Stanley Robinson,Red Mars
1993,Maureen F. McHugh,China Mountain Zhang
1993,John Varley,Steel Beach
1994,Kim Stanley Robinson*,Green Mars
1994,Greg Bear,Moving Mars
1994,Nancy Kress,Beggars in Spain
1994,David Brin,Glory Season
1994,William Gibson,Virtual Light
1995,Lois McMaster Bujold*,Mirror Dance
1995,John Barnes,Mother of Storms
1995,Nancy Kress,Beggars and Choosers
1995,Michael Bishop,Brittle Innings
1995,James K. Morrow,Towing Jehovah
1996,Neal Stephenson*,The Diamond Age
1996,Stephen Baxter,The Time Ships
1996,David Brin,Brightness Reef
1996,Robert J. Sawyer,The Terminal Experiment (also known as Hobson's Choice)
1996,Connie Willis,Remake
1997,Kim Stanley Robinson*,Blue Mars
1997,Lois McMaster Bujold,Memory
1997,Elizabeth Moon,Remnant Population
1997,Robert J. Sawyer,Starplex
1997,Bruce Sterling,Holy Fire
1998,Joe Haldeman*,Forever Peace
1998,Walter Jon Williams,City on Fire
1998,Dan Simmons,The Rise of Endymion
1998,Robert J. Sawyer,Frameshift
1998,Michael Swanwick,Jack Faust
1999,Connie Willis*,To Say Nothing of the Dog
1999,Mary Doria Russell,Children of God
1999,Robert Charles Wilson,Darwinia
1999,Bruce Sterling,Distraction
1999,Robert J. Sawyer,Factoring Humanity
2000,Vernor Vinge*,A Deepness in the Sky
2000,Lois McMaster Bujold,A Civil Campaign
2000,Neal Stephenson,Cryptonomicon
2000,Greg Bear,Darwin's Radio
2000,J. K. Rowling,Harry Potter and the Prisoner of Azkaban
2001,J. K. Rowling*,Harry Potter and the Goblet of Fire
2001,George R. R. Martin,A Storm of Swords
2001,Robert J. Sawyer,Calculating God
2001,Ken MacLeod,The Sky Road
2001,Nalo Hopkinson,Midnight Robber
2002,Neil Gaiman*,American Gods
2002,Lois McMaster Bujold,The Curse of Chalion
2002,Connie Willis,Passage
2002,China Miéville,Perdido Street Station
2002,Robert Charles Wilson,The Chronoliths
2002,Ken MacLeod,Cosmonaut Keep
2003,Robert J. Sawyer*,Hominids
2003,David Brin,Kiln People (UK: Kil'n People)
2003,Michael Swanwick,Bones of the Earth
2003,China Miéville,The Scar
2003,Kim Stanley Robinson,The Years of Rice and Salt
2004,Lois McMaster Bujold*,Paladin of Souls
2004,Dan Simmons,Ilium
2004,Charles Stross,Singularity Sky
2004,Robert Charles Wilson,Blind Lake
2004,Robert J. Sawyer,Humans
2005,Susanna Clarke*,Jonathan Strange & Mr Norrell
2005,Ian McDonald,River of Gods
2005,Iain M. Banks,The Algebraist
2005,Charles Stross,Iron Sunrise
2005,China Miéville,Iron Council
