Year,Author,Novel
2008,Kathleen Ann Goonan*,In War Times
2008,Michael Chabon,The Yiddish Policemen's Union
2008,Ken MacLeod,The Execution Channel
2008,Robert Charles Wilson,Axis
2008,Matt Ruff,Bad Monkeys
2008,Ian McDonald,Brasyl
2008,Jeffrey Thomas,Deadstock
2008,Brian W. Aldiss,HARM
2008,Jay Lake,Mainspring
2008,Sheri S. Tepper,The Margarets
2008,Nalo Hopkinson,The New Moon's Arms
2008,Robert J. Sawyer,Rollback
2008,Rebecca Ore,Time's Child
2008,José Carlos Somoza,Zig Zag
2009,Cory Doctorow*,Little Brother
2009,Ian R. MacLeod*,Song of Time
2009,James K. Morrow,The Philosopher's Apprentice
2009,Neal Stephenson,Anathem
2009,Greg Bear,City at the End of Time
2009,Nick DiChario,Valley of Day-Glo
2010,Paolo Bacigalupi*,The Windup Girl
2010,Robert Charles Wilson,Julian Comstock: A Story of 22nd-Century America
2010,China Miéville,The City & the City
2010,Bruce Sterling,The Caryatids
2010,Kim Stanley Robinson,Galileo's Dream
2010,Paul J. McAuley,Gardens of the Sun
2010,Cory Doctorow,Makers
2010,Nancy Kress,Steal Across the Sky
2010,Iain M. Banks,Transition
2010,Robert J. Sawyer,WWW: Wake
2010,Margaret Atwood,The Year of the Flood
2010,Adam Roberts,Yellow Blue Tibia
2011,Ian McDonald*,The Dervish House
2011,Charles Yu,How to Live Safely in a Science Fictional Universe
2011,Hannu Rajaniemi,The Quantum Thief
2011,E. O. Wilson,Anthill
2011,Jean-Christophe Valtat,Aurorarama
2011,Connie Willis,Blackout/All Clear
2011,Tom McCarthy,C
2011,Greg Bear,Hull Zero Three
2011,Adam Roberts,New Model Army
2011,Gavin Smith,Veteran
2011,Sheri S. Tepper,The Waters Rising
2011,Jon Armstrong,Yarn
2011,William Gibson,Zero History
2012,Christopher Priest*,The Islanders
2012,Joan Slonczewski*,The Highest Frontier
2012,China Miéville,Embassytown
2012,Lavie Tidhar,Osama
2012,Ernest Cline,Ready Player One
2012,Kathleen Ann Goonan,This Shared Dream
2012,Will McIntosh,Soft Apocalypse
2012,Michael Swanwick,Dancing with Bears
2012,Daniel H. Wilson,Robopocalypse
2012,Gene Wolfe,Home Fires
2012,Rob Ziegler,Seed
2013,Adam Roberts*,Jack Glass: The Story of a Murderer
2013,Iain M. Banks,The Hydrogen Sonata
2013,Terry Bisson,Any Day Now
2013,David Brin,Existence
2013,Cory Doctorow and Charles Stross,The Rapture of the Nerds
2013,M. John Harrison,Empty Space
2013,Ken MacLeod,Intrusion
2013,China Miéville,Railsea
2013,Hannu Rajaniemi,The Fractal Prince
2013,Alastair Reynolds,Blue Remembered Earth
2013,Kim Stanley Robinson,2312
2013,John Varley,Slow Apocalypse
2013,G. Willow Wilson,Alif the Unseen
2014,Marcel Theroux*,Strange Bodies
2014,Max Barry,Lexicon
2014,Stephen Baxter,Proxima
2014,Dave Eggers,The Circle
2014,Karen Joy Fowler,We Are All Completely Beside Ourselves
2014,Nicola Griffith,Hild
2014,Wolfgang Jeschke,The Cusanus Game
2014,Ann Leckie,Ancillary Justice
2014,Phillip Mann,The Disestablishment of Paradise
2014,Paul J. McAuley,Evening's Empires
2014,Linda Nagata,The Red: First Light
2014,Christopher Priest,The Adjacent
2014,Alastair Reynolds,On the Steel Breeze
2014,Kim Stanley Robinson,Shaman
2014,Charles Stross,Neptune's Brood
2015,Claire North*,The First Fifteen Lives of Harry August
2015,Nina Allan,The Race
2015,James L. Cambias,A Darkling Sea
2015,William Gibson,The Peripheral
2015,Daryl Gregory,Afterparty
2015,Dave Hutchinson,Europe In Autumn
2015,Simon Ings,Wolves
2015,Cixin Liu,The Three-Body Problem
2015,Emily St. John Mandel,Station Eleven
2015,Will McIntosh,Defenders
2015,Laline Paull,The Bees
2015,Adam Roberts,Bête
2015,John Scalzi,Lock In
2015,Andy Weir,The Martian
2015,Jeff VanderMeer,Annihilation
2015,Peter Watts,Echopraxia
2016,Eleanor Lerman*,Radiomen
2016,Kim Stanley Robinson,Aurora
2016,Nnedi Okorafor,The Book of Phoenix
2016,Dave Hutchinson,Europe at Midnight
2016,James K. Morrow,Galapágos Regained
2016,Linda Nagata,Going Dark
2016,Ian McDonald,Luna: New Moon
2016,Neal Stephenson,Seveneves
2016,Adam Roberts,The Thing Itself
2016,Paolo Bacigalupi,The Water Knife
2016,Kit Reed,Where
2017,Lavie Tidhar*,Central Station
2017,Rick Wilber,Alien Morning
2017,Aliya Whiteley,The Arrival of Missives
2017,Nick Wood,Azanian Bridges
2017,Kij Johnson,The Dream-Quest of Vellitt Boe
2017,Nisi Shawl,Everfair
2017,Paul J. McAuley,Into Everywhere
2017,Stephen Baxter ,The Medusa Chronicles 
2017,Alastair Reynolds ,
2017,Tricia Sullivan,Occupy Me
2017,Tade Thompson,Rosewater
2017,Ben H. Winters,Underground Airlines
2017,Colson Whitehead,The Underground Railroad
2017,Don DeLillo,Zero K
2018,David Walton*,The Genius Plague
2018,Deji Bryce Olukotun,After the Flare
2018,Paul J. McAuley,Austral
2018,Annalee Newitz,Autonomous
2018,Jeff VanderMeer,Borne
2018,Louise Erdrich,Future Home of the Living God
2018,John Kessel,The Moon and the Other
2018,Kim Stanley Robinson,New York 2140
2018,Norman Spinrad,The People's Police
2018,Nina Allan,The Rift
2018,Eleanor Lerman,The Stargazer's Embassy
2018,Kameron Hurley,The Stars Are Legion
2018,Christopher Brown,Tropic of Kansas
2019,Sam J. Miller*,Blackfish City
2019,Mary Robinette Kowal,The Calculating Stars
2019,Peter Watts,The Freeze-Frame Revolution
2019,Aliya Whiteley,The Loosening Skin
2019,Waubgeshig Rice,Moon of the Crusted Snow
2019,Sue Burke,Semiosis
2019,Catherynne M. Valente,Space Opera
2019,Imraan Coovadia,A Spy in Time
2019,Audrey Schulman,Theory of Bastards
2019,Ian McDonald,Time Was
2019,Lavie Tidhar,Unholy Land
