Year,Author,Novel
2012,China Miéville,Embassytown
2012,Charles Stross,Rule 34
2012,Sheri S. Tepper,The Waters Rising
2013,Chris Beckett*,Dark Eden
2013,Kim Stanley Robinson,2312
2013,Nick Harkaway,Angelmaker
2013,Peter Heller,The Dog Stars
2013,Ken MacLeod,Intrusion
2013,Adrian Barnes,Nod
2014,Ann Leckie*,Ancillary Justice
2014,Kameron Hurley,God's War
2014,Phillip Mann,The Disestablishment of Paradise
2014,Ramez Naam,Nexus
2014,Christopher Priest,The Adjacent
2014,James Smythe,The Machine
2015,Emily St. John Mandel*,Station Eleven
2015,Michel Faber,The Book of Strange New Things
2015,Dave Hutchinson,Europe in Autumn
2015,Claire North,The First Fifteen Lives of Harry August
2015,M. R. Carey,The Girl with All the Gifts
2015,Emmi Itäranta,Memory of Water
2016,Adrian Tchaikovsky*,Children of Time
2016,Becky Chambers,"The Long Way to a Small, Angry Planet"
2016,Dave Hutchinson,Europe at Midnight
2016,Nnedi Okorafor,The Book of Phoenix
2016,Iain Pears,Arcadia
2016,James Smythe,Way Down Dark
2017,Colson Whitehead*,The Underground Railroad
2017,Becky Chambers,A Closed and Common Orbit
2017,Yoon Ha Lee,Ninefox Gambit
2017,Emma Newman,After Atlas
2017,Tricia Sullivan,Occupy Me
2017,Lavie Tidhar,Central Station
2018,Anne Charnock*,Dreams Before the Start of Time
2018,Omar El Akkad,American War
2018,Jeff VanderMeer,Borne
2018,Jennie Melamed,Gather the Daughters
2018,C. Robert Cargill,Sea of Rust
2018,Jaroslav Kalfar,Spaceman of Bohemia
2019,Tade Thompson*,Rosewater
2019,Sue Burke,Semiosis
2019,Yoon Ha Lee,Revenant Gun
2019,Ahmed Saadawi,Frankenstein in Baghdad
2019,Simon Stålenhag,The Electric State
2019,Aliya Whiteley,The Loosening Skin
2020,Namwali Serpell*,The Old Drift
2020,Adrian Tchaikovsky,Cage of Souls
2020,Charlie Jane Anders,The City in the Middle of the Night
2020,David Wellington,The Last Astronaut
2020,Kameron Hurley,The Light Brigade
2020,Arkady Martine,A Memory Called Empire
2021,Laura Jean McKay*,The Animals in That Country
2021,Patience Agbabi,The Infinite
2021,Simon Jimenez,The Vanished Birds
2021,Hao Jingfang,Vagabonds
2021,R. B. Kelly,Edge of Heaven
2021,Valerie Valdes,Chilling Effect
2022,Harry Josephine Giles*,Deep Wheel Orcadia
2022,Arkady Martine,A Desolation Called Peace
2022,Kazuo Ishiguro,Klara and the Sun
2022,Courttia Newland,A River Called Time
2022,Aliya Whiteley,Skyward Inn
2022,Mercurio D. Rivera,Wergen: The Alien Love War
2023,Ned Beauman*,Venomous Lumpsucker
2023,E. J. Swift,The Coral Bones
2023,Tom Watson,Metronome
2023,Hervé Le Tellier,The Anomaly
2023,Aliette de Bodard,The Red Scholar’s Wake
2023,Lucy Kissick,Plutoshine
